,ad_position_type,click,cms_group_id,gender,age_level,shopping_level,occupation,new_user_class_level,price,btag,cate
1,0,0,11,1,5,3,0,3,2560,0,7971
2,0,0,11,1,5,3,0,3,999,0,7971
3,0,0,11,1,5,3,0,3,138,0,7971
726,0,1,1,2,1,3,0,4,68,0,5539
727,0,1,1,2,1,3,0,4,68,0,5539
728,0,1,1,2,1,3,0,4,68,0,5539
729,0,0,1,2,1,3,0,4,99.9,0,5539
730,0,0,1,2,1,3,0,4,99.9,0,5539
731,0,0,1,2,1,3,0,4,99.9,0,5539
732,0,1,1,2,1,3,0,4,18,0,5539
733,0,1,1,2,1,3,0,4,18,0,5539
734,0,1,1,2,1,3,0,4,18,0,5539
735,0,0,1,2,1,3,0,4,69.9,0,5539
736,0,0,1,2,1,3,0,4,69.9,0,5539
737,0,0,1,2,1,3,0,4,69.9,0,5539
741,0,0,4,2,4,3,0,2,128,0,1226
742,0,0,4,2,4,3,0,2,128,0,1226
743,0,0,4,2,4,3,0,2,128,0,1226
744,0,0,4,2,4,3,0,2,388,0,1226
745,0,0,4,2,4,3,0,2,388,0,1226
746,0,0,4,2,4,3,0,2,388,0,1226
750,0,0,4,2,4,3,0,2,172,0,1226
751,0,0,4,2,4,3,0,2,172,0,1226
752,0,0,4,2,4,3,0,2,172,0,1226
753,0,0,4,2,4,3,0,2,172,0,1226
754,0,0,4,2,4,3,0,2,172,0,1226
755,0,0,4,2,4,3,0,2,172,0,1226
756,0,0,4,2,4,3,0,2,78,0,1226
757,0,0,4,2,4,3,0,2,78,0,1226
758,0,0,4,2,4,3,0,2,78,0,1226
759,0,0,4,2,4,3,0,2,129,0,1226
760,0,0,4,2,4,3,0,2,129,0,1226
761,0,0,4,2,4,3,0,2,129,0,1226
765,0,0,4,2,4,3,0,2,294,0,1226
766,0,0,4,2,4,3,0,2,294,0,1226
767,0,0,4,2,4,3,0,2,294,0,1226
768,0,0,4,2,4,3,0,2,294,0,1226
769,0,0,4,2,4,3,0,2,294,0,1226
770,0,0,4,2,4,3,0,2,294,0,1226
774,0,0,4,2,4,3,0,2,78,0,1226
775,0,0,4,2,4,3,0,2,78,0,1226
776,0,0,4,2,4,3,0,2,78,0,1226
780,0,0,4,2,4,3,0,2,229,0,1226
781,0,0,4,2,4,3,0,2,229,0,1226
782,0,0,4,2,4,3,0,2,229,0,1226
863,0,0,10,1,4,3,0,4,680,0,7266
864,0,0,10,1,4,3,0,4,680,0,6142
865,0,0,10,1,4,3,0,4,228,0,7266
866,0,0,10,1,4,3,0,4,228,0,6142
867,0,0,10,1,4,3,0,4,128,0,7266
